model,query,topic,k,mode,precision,recall,mrr,f1,num_relevant_total,top_score,retrieved_preview
MiniLM-L6-v2,How should someone respond to an opioid overdose?,overdose,7,baseline,0.8571,0.1224,1.0,0.2143,49,0.6163,"Opioid Use Disorder: Rural Policy Brief  Key points  - Drug overdoses are one of the leading causes of injury death in a ||| Recovery Position  If you do not have training in rescue breathing and chest compressions, follow the instructions of th ||| Ideas, insights and resources to inspire opioid stewardship. The use and misuse of opiate-based prescription, synthetic  ||| September 20, 2018  Media Contact:  Shweta Adyanthaya  Washington, D.C. – Facing Addiction in America: The Surgeon Gener ||| A Drug Court Clinician’s Guide for Linking People to Opioid Treatment Services in Outpatient Offices, Clinics, and Opioi ||| ## Five Facts Debunk Myths About Opioid Crisis  The opioid crisis is a major focus of this election cycle, but misinform ||| Prescription opioid abuse, chronic pain, and primary care: a co-occurring disorders clinic in the chronic disease model."
MiniLM-L6-v2,What are the signs and symptoms of opioid overdose?,overdose,7,baseline,0.0,0.0,0.0,0.0,3,0.5458,"WHO/HSC/SAB/98.4  SUBSTANCE ABUSE DEPARTMENT  ## OPIOIDOVERDOSE Trends, Risk Factors, Interventions and Priorities for A ||| Prescription opioid abuse, chronic pain, and primary care: a co-occurring disorders clinic in the chronic disease model. ||| Ideas, insights and resources to inspire opioid stewardship. The use and misuse of opiate-based prescription, synthetic  ||| Opioid Use Disorder: Rural Policy Brief  Key points  - Drug overdoses are one of the leading causes of injury death in a ||| ## Scaling up opioid dependence treatment in low- and middle-income settings  Zunyou Wu a &amp; Nicolas Clark b  Opioids ||| What to know  - The number of opioid-involved deaths increased substantially from 1999 to 2023, but 2023 marked the firs ||| September 20, 2018  Media Contact:  Shweta Adyanthaya  Washington, D.C. – Facing Addiction in America: The Surgeon Gener"
MiniLM-L6-v2,What is buprenorphine and how is it used to treat opioid use disorder?,treatment,7,baseline,1.0,0.1373,1.0,0.2414,51,0.6783,"Prescription opioid abuse, chronic pain, and primary care: a co-occurring disorders clinic in the chronic disease model. ||| Those unable to provide treatment themselves should arrange for patients with opioid use disorder to receive care from a ||| ## Opportunities to Promote Medications for Opioid Use Disorder in Federally Qualified Health Centers  JANUARY 2024  By  ||| 8-Hour DEA Training  8-Hour Education Options  - Online 8-Hour MOUD Training - Online 8-Hour MSUD Training (only course  ||| A Drug Court Clinician’s Guide for Linking People to Opioid Treatment Services in Outpatient Offices, Clinics, and Opioi ||| ## Opioid substitution therapy in resource-poor settings  Michelle Kermode, a Nick Crofts, a M Suresh Kumar b &amp; Jimm ||| There are three main choices for medication to treat opioid addiction: methadone, buprenorphine and naltrexone. People c"
MiniLM-L6-v2,What is methadone and when is it recommended for OUD treatment?,treatment,7,baseline,0.5714,0.1111,0.5,0.186,36,0.5898,"In several countries, a numbex of programmes test for physical dependence by administration of Naloxone to precipitate w ||| 8-Hour DEA Training  8-Hour Education Options  - Online 8-Hour MOUD Training - Online 8-Hour MSUD Training (only course  ||| A Drug Court Clinician’s Guide for Linking People to Opioid Treatment Services in Outpatient Offices, Clinics, and Opioi ||| A Drug Court Team Member’s Guide to Medication in Addiction Treatment  Introduction This pocket guide is intended for no ||| Distr. :GENERAL  ## THE USES OF METHADONE IN THE TREATMENT AND MANAGEMENT OF OPIOID DEPENDENCE  Edited by Gossop, M.; Gr ||| ## Opioid substitution: improving cost-efficiency  Sheena Sullivan a  The United Nations Office of Drugs and Crime in it ||| In some of these countries the number of people receiving such treatment has increased dramatically in recent years (Far"
MiniLM-L6-v2,What is naltrexone and how does it work for opioid addiction?,naloxone,7,baseline,0.5714,0.1538,0.5,0.2424,26,0.5826,"FDA Approves First Nalmefene Hydrochloride Auto-Injector to Reverse Opioid Overdose  Agency Continues to Support Develop ||| Prescription opioid abuse, chronic pain, and primary care: a co-occurring disorders clinic in the chronic disease model. ||| In several countries, a numbex of programmes test for physical dependence by administration of Naloxone to precipitate w ||| A Drug Court Clinician’s Guide for Linking People to Opioid Treatment Services in Outpatient Offices, Clinics, and Opioi ||| NAATP Research Foundation Releases Report Revealing Addiction Treatment Outcomes  With the current severity and urgency  ||| Guidelines for the Psychosocially Assisted Pharmacological Treatment of Opioid Dependence  ## Guidelines for the Psychos ||| ## Opportunities to Promote Medications for Opioid Use Disorder in Federally Qualified Health Centers  JANUARY 2024  By "
MiniLM-L6-v2,How is the FQHC and CCBHC partnership structured for MOUD delivery?,treatment,7,baseline,0.8571,0.1053,1.0,0.1875,57,0.4691,"A Federally Qualified Health Center and Certified Community Behavioral Health Clinic Partnership in Rural Missouri  Cert ||| Basic Coding for Integrated Behavioral Health Care Updated February 2025  Always check with your state and all payors to ||| States are employing various Medicaid options, such as the Section 223 CCBHC Medicaid Demonstration, State Plan Amendmen ||| -  Prepare, through a consultative process, a harmonized tool for the assessment of procurement agencies, based on the M ||| ## Resources  People experiencing homelessness or housing insecurity often navigate two complex systems alone, behaviora ||| CMS Cross Cutting Initiative Behavioral Health Addressing the country’s behavioral health crisis is a key priority for C ||| DEPARTMENT OF HEALTH & HUMAN SERVICES Centers for Medicare & Medicaid Services 7500 Security Boulevard, Mail Stop S2-26-"
MiniLM-L6-v2,What training do staff receive for the MOUD program?,treatment,7,baseline,0.7143,0.0893,1.0,0.1587,56,0.4679,"This follows a trend in recent years among state Medicaid agencies as well as other insurers of reducing or otherwise pr ||| 8-Hour DEA Training  8-Hour Education Options  - Online 8-Hour MOUD Training - Online 8-Hour MSUD Training (only course  ||| ## Interprofessional opioid and addiction teaching day for third year medical and pharmacy students  # Abstract  The nat ||| The process should be transparent and outlined in a clinical governance document. Treatment of opioid dependence should  ||| A Federally Qualified Health Center and Certified Community Behavioral Health Clinic Partnership in Rural Missouri  Cert ||| # Prior to the Live Teaching Day event, facilitators should  ☐ Ensure access to the Opioid/Addiction IPE Teaching Day MS ||| There are three main choices for medication to treat opioid addiction: methadone, buprenorphine and naltrexone. People c"
MiniLM-L6-v2,How is medication-assisted treatment billed and financed?,legal,7,baseline,0.8571,0.1364,0.5,0.2353,44,0.6096,"For example, dispensing hours of OST clinics may need to be changed during Ramadan, in order to facilitate continued the ||| ACA included a provision for Medicaid to reimburse providers for coordinated health care for Medicaid enrollees in behav ||| Medicaid coverage of medications for treatment of SUDs is essential to support the long-term recovery of individuals. Th ||| Center for Financing Reform and Innovation Medicaid Coverage of Medications to Reverse Opioid Overdose and Treat Alcohol ||| This follows a trend in recent years among state Medicaid agencies as well as other insurers of reducing or otherwise pr ||| Urban Institute  500 L’Enfant Plaza SW  Washington, DC 20024  202.833.7200  www.urban.org Guide to Equity in Pharmacy Se ||| Those unable to provide treatment themselves should arrange for patients with opioid use disorder to receive care from a"
MiniLM-L6-v2,What is opioid withdrawal and how should it be managed?,withdrawal,7,baseline,0.5714,0.1176,1.0,0.1951,34,0.5907,"Guidelines for the Psychosocially Assisted Pharmacological Treatment of Opioid Dependence  ## Guidelines for the Psychos ||| A Drug Court Clinician’s Guide for Linking People to Opioid Treatment Services in Outpatient Offices, Clinics, and Opioi ||| Patients prescribed opioids but unable to access ongoing care (243) might be at risk for abrupt opioid discontinuation a ||| There are three main choices for medication to treat opioid addiction: methadone, buprenorphine and naltrexone. People c ||| ## Opioid substitution: improving cost-efficiency  Sheena Sullivan a  The United Nations Office of Drugs and Crime in it ||| • 25  [Table 1] | ASAM | American Society of Addiction Medicine | | --- | --- | | COWS | Clinical Opioid Withdrawal Scal ||| Ideas, insights and resources to inspire opioid stewardship. The use and misuse of opiate-based prescription, synthetic "
MiniLM-L6-v2,What psychosocial treatments are recommended alongside medication for OUD?,mental_health,7,baseline,0.8571,0.0606,1.0,0.1132,99,0.5374,"## How States Use Opioid Use Disorder Treatment Measures to Inform Decision-Making  # Overview  Most states collect and  ||| Medicaid coverage of medications for treatment of SUDs is essential to support the long-term recovery of individuals. Th ||| A Drug Court Clinician’s Guide for Linking People to Opioid Treatment Services in Outpatient Offices, Clinics, and Opioi ||| 8-Hour DEA Training  8-Hour Education Options  - Online 8-Hour MOUD Training - Online 8-Hour MSUD Training (only course  ||| Guidelines for the Psychosocially Assisted Pharmacological Treatment of Opioid Dependence  ## Guidelines for the Psychos ||| This follows a trend in recent years among state Medicaid agencies as well as other insurers of reducing or otherwise pr ||| A Drug Court Team Member’s Guide to Medication in Addiction Treatment  Introduction This pocket guide is intended for no"
