question_id,question,method,k,target_tokens,hit_at_k,first_hit_rank,evidence_chunk_id,top1_preview,matched_keyword_count,matched_keywords
Q1,How should someone respond to an opioid overdose?,fixed,3,3000,1,3,SAMHSA Overdose Prevention and Response Toolkit.txt::fixed::1,"Contact Management of Substance Abuse Department of Mental Health and Substance Abuse 20, Avenue Appia 1211 Geneva 27 Switzerland Tel: + 41 22 791 21 11 Email: msb@who.int www.who.int/substance_abuse ...",4,naloxone|overdose|breathing|injection
Q1,How should someone respond to an opioid overdose?,fixed_overlap,3,3000,1,2,SAMHSA Overdose Prevention and Response Toolkit.txt::fixed_overlap::3,"Contact Management of Substance Abuse Department of Mental Health and Substance Abuse 20, Avenue Appia 1211 Geneva 27 Switzerland Tel: + 41 22 791 21 11 Email: msb@who.int www.who.int/substance_abuse ...",4,naloxone|overdose|911|breathing
Q1,How should someone respond to an opioid overdose?,recursive,3,3000,1,3,14104_Community Management of Opioid Overdose.txt::recursive::6,"Contact Management of Substance Abuse Department of Mental Health and Substance Abuse 20, Avenue Appia  1211 Geneva 27  Switzerland Tel: + 41 22 791 21 11 Email: msb@who.int www.who.int/substance_abus...",5,naloxone|overdose|breathing|intranasal|injection
Q1,How should someone respond to an opioid overdose?,sentence_pack,3,3000,1,2,14104_Community Management of Opioid Overdose.txt::sentence_pack::5,"Contact Management of Substance Abuse Department of Mental Health and Substance Abuse 20, Avenue Appia 1211 Geneva 27 Switzerland Tel: + 41 22 791 21 11 Email: msb@who.int www.who.int/substance_abuse ...",5,naloxone|overdose|breathing|intranasal|injection
Q1,How should someone respond to an opioid overdose?,semantic,3,3000,1,2,SAMHSA Overdose Prevention and Response Toolkit.txt::semantic::6,"Contact Management of Substance Abuse Department of Mental Health and Substance Abuse 20, Avenue Appia 1211 Geneva 27 Switzerland Tel: + 41 22 791 21 11 Email: msb@who.int www.who.int/substance_abuse ...",4,naloxone|overdose|911|breathing
Q2,What are the signs and symptoms of opioid overdose?,fixed,3,3000,1,1,SAMHSA Overdose Prevention and Response Toolkit.txt::fixed::2,"and potentially lifesaving. Extreme experiences of withdrawal can be painful, dangerous, and traumatizing, leading to negative feelings towards OORMs and people who use it. Fear of withdrawal may prev...",4,shallow breathing|blue|purple|awaken
Q2,What are the signs and symptoms of opioid overdose?,fixed_overlap,3,3000,0,,,"statistically significant differences between IN and IM routes of administration. 47 Community management of opioid overdose Other evidence In a classroom based RCT in Ireland, 18 advanced paramedic t...",0,
Q2,What are the signs and symptoms of opioid overdose?,recursive,3,3000,0,,,"17. National Harm Reduction Coalition. Recognizing Opioid Overdose, 2023.https://harmreduction.org/issues/overdose-prevention/overview/overdose-basics/recognizing- opioid-overdose/. Accessed Sep 1, 20...",0,
Q2,What are the signs and symptoms of opioid overdose?,sentence_pack,3,3000,0,,,"Overdose prevention includes taking steps to reduce the risk of overdose in the first place, responding to an overdose by administering opioid overdose reversal medications (e.g., naloxone or nalmefen...",0,
Q2,What are the signs and symptoms of opioid overdose?,semantic,3,3000,1,1,SAMHSA Overdose Prevention and Response Toolkit.txt::semantic::6,"However, in some cases, waiting 2-3 minutes before administering a second dose and ensuring that effective rescue breaths are being provided would have been sufficient to reverse the overdose. Taking ...",4,shallow breathing|blue|purple|awaken
